"latitude";"longitude";"Schulnummer";"Schulname";"Schule.PLZ";"Schule.Strasse";"Schule.Hausnr";"Schule.Hausnr.2";"Kennz.Zweigstelle";"Ergebnis"
53.569055;9.908311;5081;"Stadtteilschule Bahrenfeld";22761;"Regerstraﬂe";21;"";"keine Zweigstelle";907
53.612426;9.887501;5083;"Stadtteilschule Eidelstedt";22523;"Lohkampstraﬂe";145;"";"keine Zweigstelle";654
53.608646;9.896811;5083;"Stadtteilschule Eidelstedt";22523;"Niekampsweg";25;"";"Zweigstelle";398
53.486809;10.167511;5084;"Gretel-Bergmann-Schule";21035;"Margit-Zinke-Straﬂe";7;"";"keine Zweigstelle";833
53.486223;10.160285;5084;"Gretel-Bergmann-Schule";21035;"Von-Moltke-Bogen";40;"";"Zweigstelle";336
53.653258;10.173858;5085;"Stadtteilschule Walddˆrfer";22359;"Ahrensburger Weg";30;"";"keine Zweigstelle";834
53.652334;10.167118;5085;"Stadtteilschule Walddˆrfer";22359;"Vˆrn Barkholt";6;"";"Zweigstelle";421
53.421315;10.204371;5087;"Stadtteilschule Kirchwerder";21037;"Kirchwerder Hausdeich";341;"";"keine Zweigstelle";1077
53.587118;10.028024;5088;"Stadtteilschule Winterhude";22303;"Meerweinstraﬂe";26;"";"keine Zweigstelle";1074
53.541705;10.129848;5089;"Stadtteilschule ÷jendorf";22117;"÷jendorfer Hˆhe";12;"";"keine Zweigstelle";318
53.541909;10.121221;5089;"Stadtteilschule ÷jendorf";22117;"Pergamentweg";1;"";"Zweigstelle";300
53.587197;9.974127;5090;"Stadtteilschule Eppendorf";20251;"Lˆwenstraﬂe";58;"";"keine Zweigstelle";951
53.477179;9.866289;5093;"Stadtteilschule S¸derelbe";21147;"Neumoorst¸ck";1;"";"keine Zweigstelle";850
53.503981;10.212133;5094;"Stadtteilschule Lohbr¸gge";21031;"Binnenfeldredder";7;"";"keine Zweigstelle";1093
53.504513;9.993409;5095;"Stadtteilschule Wilhelmsburg";21107;"Perlstieg";1;"";"Zweigstelle";831
53.505986;9.989948;5095;"Stadtteilschule Wilhelmsburg";21107;"Rotenh‰user Straﬂe";67;"";"keine Zweigstelle";324
53.556029;10.103568;5097;"Br¸der-Grimm-Schule";22119;"Querkamp";68;"";"keine Zweigstelle";440
53.552043;10.106961;5097;"Br¸der-Grimm-Schule";22119;"Steinadlerweg";26;"";"Zweigstelle";465
53.629194;10.162935;5098;"Stadtteilschule Meiendorf";22145;"Deepenhorn";1;"";"keine Zweigstelle";403
53.526718;10.019412;5099;"Schule auf der Veddel";20539;"Slomanstieg";1;"";"keine Zweigstelle";458
53.527878;9.881069;5100;"Aueschule Finkenwerder";21129;"Ostfrieslandstraﬂe";91;"";"keine Zweigstelle";217
53.541985;9.99454;5101;"Katharinenschule in der Hafencity";20457;"Am Dalmannkai";18;"";"keine Zweigstelle";288
53.598509;10.114804;5102;"Grundschule Eckerkoppel";22159;"Berner Heerweg";99;"";"keine Zweigstelle";311
53.547172;9.958743;5103;"Grundschule St.Pauli";20359;"Friedrichstraﬂe";55;"";"keine Zweigstelle";181
